,A ,K,annual mean wind speed,V50,turbulent intensity,air density,wind shear,inflow angle,power,BR_Mx_m4,BR_My_m4,BR_Mz_m4,BR_Fx_m4,BR_Fy_m4,BR_Fz_m4,BR_Mx_m9,BR_My_m9,BR_Mz_m9,BR_Fx_m9,BR_Fy_m9,BR_Fz_m9,Hubfix_Mx_m9,Hubfix_My_m9,Hubfix_Mz_m9,Hubfix_Fx_m9,Hubfix_Fy_m9,Hubfix_Fz_m9,Hubrot_Mx_m9,Hubrot_My_m9,Hubrot_Mz_m9,Hubrot_Fx_m9,Hubrot_Fy_m9,Hubrot_Fz_m9,TT_Mx,TT_My,TT_Mz,TT_Fx,TT_Fy,TT_Fz,TB_Mx,TB_My,TB_Mz,TB_Fx,TB_Fy,TB_Fz
A ,1,0.1,0.76,0.51,-0.3,-0.23,0.08,-0.19,-0.19,0.75,0.14,0.09,0.04,0.82,0.41,0.58,-0.06,-0.12,-0.2,0.78,-0.35,-0.28,0.04,0.06,-0.23,0.43,0.16,-0.28,0.15,0.15,-0.23,0.82,0.82,-0.22,0.16,0.16,-0.04,0.61,0.21,0.6,-0.07,0.16,0.09,0.59,0.21
K,0.1,1,-0.07,-0.01,0.12,0.36,-0.01,-0.15,-0.01,0.55,0.16,0.47,0.21,0.56,0.66,0.44,0.18,0.33,0.24,0.5,0.25,0.27,0.05,0.09,0.42,-0.22,-0.11,0.27,0.04,0.04,0.42,0.6,0.6,0.32,0.17,0.18,0.28,-0.32,0.11,-0.34,0.28,0.18,0.19,-0.2,0.11
annual mean wind speed,0.76,-0.07,1,0.42,-0.31,-0.17,0.07,-0.18,-0.08,0.47,0.06,0.08,-0.02,0.53,0.22,0.33,-0.07,-0.06,-0.19,0.49,-0.3,-0.27,-0.03,0,-0.2,0.41,0.11,-0.27,0.08,0.09,-0.2,0.54,0.54,-0.26,0.05,0.04,-0.1,0.53,0.09,0.54,-0.12,0.04,0,0.46,0.09
V50,0.51,-0.01,0.42,1,-0.52,0.01,0,-0.07,0.07,0.23,-0.22,0.04,-0.28,0.34,-0.06,0.06,-0.32,-0.16,-0.43,0.26,-0.56,-0.44,-0.22,-0.24,-0.28,0.55,0.02,-0.44,-0.12,-0.13,-0.28,0.37,0.38,-0.45,-0.2,-0.21,-0.34,0.45,-0.17,0.48,-0.35,-0.21,-0.25,0.3,-0.17
turbulent intensity,-0.3,0.12,-0.31,-0.52,1,0.05,0.04,-0.04,-0.16,0.21,0.76,0.26,0.85,0.03,0.54,0.51,0.8,0.56,0.89,0.21,0.91,0.84,0.85,0.86,0.59,0.2,0.72,0.84,0.63,0.64,0.59,-0.07,-0.06,0.95,0.84,0.84,0.89,0.16,0.83,0.13,0.9,0.84,0.87,0.34,0.83
air density,-0.23,0.36,-0.17,0.01,0.05,1,0.07,0.05,0.09,0.01,0.26,0.75,0.29,0.01,0.12,-0.01,0.36,0.66,0.36,-0.01,0.14,0.1,0.24,0.23,0.74,0.1,0.14,0.1,0.29,0.28,0.74,0.03,0.03,0.13,0.17,0.17,0.32,-0.11,0.09,-0.13,0.33,0.17,0.22,-0.03,0.09
wind shear,0.08,-0.01,0.07,0,0.04,0.07,1,0.13,-0.02,0.15,0.43,0.35,0.26,0.1,0.03,0.21,0.33,0.27,0.17,0.15,-0.02,0,0.12,0.09,0,-0.01,0.06,0,0.6,0.58,0,0.05,0.05,0.07,0.13,0.11,0.1,0.01,0.09,0.01,0.08,0.11,0.09,0,0.09
inflow angle,-0.19,-0.15,-0.18,-0.07,-0.04,0.05,0.13,1,0.22,-0.29,0.01,0.15,-0.01,-0.31,-0.28,-0.26,0.05,0.15,0.01,-0.31,-0.09,-0.13,-0.13,-0.09,-0.08,-0.24,-0.12,-0.13,0.07,0.06,-0.08,-0.3,-0.3,-0.07,-0.14,-0.13,-0.08,-0.17,-0.1,-0.16,-0.09,-0.13,-0.11,-0.18,-0.1
power,-0.19,-0.01,-0.08,0.07,-0.16,0.09,-0.02,0.22,1,-0.24,-0.16,0.2,-0.15,-0.23,-0.26,-0.23,-0.02,0.16,-0.06,-0.24,-0.18,0.15,-0.2,-0.2,0.06,-0.09,-0.12,0.15,-0.12,-0.11,0.06,-0.22,-0.21,-0.08,-0.23,-0.23,-0.2,-0.14,-0.23,-0.12,-0.19,-0.23,-0.22,-0.18,-0.23
BR_Mx_m4,0.75,0.55,0.47,0.23,0.21,0.01,0.15,-0.29,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR_My_m4,0.14,0.16,0.06,-0.22,0.76,0.26,0.43,0.01,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR_Mz_m4,0.09,0.47,0.08,0.04,0.26,0.75,0.35,0.15,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR_Fx_m4,0.04,0.21,-0.02,-0.28,0.85,0.29,0.26,-0.01,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR_Fy_m4,0.82,0.56,0.53,0.34,0.03,0.01,0.1,-0.31,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR_Fz_m4,0.41,0.66,0.22,-0.06,0.54,0.12,0.03,-0.28,-0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR_Mx_m9,0.58,0.44,0.33,0.06,0.51,-0.01,0.21,-0.26,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR_My_m9,-0.06,0.18,-0.07,-0.32,0.8,0.36,0.33,0.05,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR_Mz_m9,-0.12,0.33,-0.06,-0.16,0.56,0.66,0.27,0.15,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR_Fx_m9,-0.2,0.24,-0.19,-0.43,0.89,0.36,0.17,0.01,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR_Fy_m9,0.78,0.5,0.49,0.26,0.21,-0.01,0.15,-0.31,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR_Fz_m9,-0.35,0.25,-0.3,-0.56,0.91,0.14,-0.02,-0.09,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubfix_Mx_m9,-0.28,0.27,-0.27,-0.44,0.84,0.1,0,-0.13,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubfix_My_m9,0.04,0.05,-0.03,-0.22,0.85,0.24,0.12,-0.13,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubfix_Mz_m9,0.06,0.09,0,-0.24,0.86,0.23,0.09,-0.09,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubfix_Fx_m9,-0.23,0.42,-0.2,-0.28,0.59,0.74,0,-0.08,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubfix_Fy_m9,0.43,-0.22,0.41,0.55,0.2,0.1,-0.01,-0.24,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubfix_Fz_m9,0.16,-0.11,0.11,0.02,0.72,0.14,0.06,-0.12,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubrot_Mx_m9,-0.28,0.27,-0.27,-0.44,0.84,0.1,0,-0.13,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubrot_My_m9,0.15,0.04,0.08,-0.12,0.63,0.29,0.6,0.07,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubrot_Mz_m9,0.15,0.04,0.09,-0.13,0.64,0.28,0.58,0.06,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubrot_Fx_m9,-0.23,0.42,-0.2,-0.28,0.59,0.74,0,-0.08,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubrot_Fy_m9,0.82,0.6,0.54,0.37,-0.07,0.03,0.05,-0.3,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubrot_Fz_m9,0.82,0.6,0.54,0.38,-0.06,0.03,0.05,-0.3,-0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT_Mx,-0.22,0.32,-0.26,-0.45,0.95,0.13,0.07,-0.07,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT_My,0.16,0.17,0.05,-0.2,0.84,0.17,0.13,-0.14,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT_Mz,0.16,0.18,0.04,-0.21,0.84,0.17,0.11,-0.13,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT_Fx,-0.04,0.28,-0.1,-0.34,0.89,0.32,0.1,-0.08,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT_Fy,0.61,-0.32,0.53,0.45,0.16,-0.11,0.01,-0.17,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT_Fz,0.21,0.11,0.09,-0.17,0.83,0.09,0.09,-0.1,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB_Mx,0.6,-0.34,0.54,0.48,0.13,-0.13,0.01,-0.16,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB_My,-0.07,0.28,-0.12,-0.35,0.9,0.33,0.08,-0.09,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB_Mz,0.16,0.18,0.04,-0.21,0.84,0.17,0.11,-0.13,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB_Fx,0.09,0.19,0,-0.25,0.87,0.22,0.09,-0.11,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB_Fy,0.59,-0.2,0.46,0.3,0.34,-0.03,0,-0.18,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB_Fz,0.21,0.11,0.09,-0.17,0.83,0.09,0.09,-0.1,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
